n_orders,method,total_distance(km),elapsed_time(s),optimize_rate(%)
5,greedy,192.48,0.0088,-
5,aco,159.20,1.9254,17.29%
5,greedy_then_aco,159.20,1.9528,17.29%
5,greedy_then_mmas,159.20,1.9804,17.29%
10,greedy,250.06,0.0043,-
10,aco,213.05,12.2611,14.80%
10,greedy_then_aco,219.40,12.2628,12.26%
10,greedy_then_mmas,217.92,12.2413,12.85%
20,greedy,340.10,0.0149,-
20,aco,282.57,83.2084,16.91%
20,greedy_then_aco,282.57,83.4998,16.91%
20,greedy_then_mmas,283.23,83.3881,16.72%
30,greedy,426.49,0.0311,-
30,aco,385.08,263.1214,9.71%
30,greedy_then_aco,407.57,262.2118,4.44%
30,greedy_then_mmas,402.01,261.3330,5.74%
40,greedy,529.70,0.0555,-
40,aco,411.94,5423.1280,22.23%
40,greedy_then_aco,424.95,7353.3637,19.78%
40,greedy_then_mmas,403.71,601.9245,23.78%
50,greedy,614.42,0.0815,-
50,aco,516.47,1148.6010,15.94%
50,greedy_then_aco,531.89,1159.2940,13.43%
50,greedy_then_mmas,526.64,1081.4825,14.29%
