n_orders,method,total_distance(km),elapsed_time(s),optimize_rate(%)
5,greedy,192.48,0.0013,-
5,aco,159.20,1.9599,17.29%
5,greedy_then_aco,159.20,2.0123,17.29%
5,greedy_then_mmas,159.20,2.0003,17.29%
10,greedy,250.06,0.0038,-
10,aco,213.05,12.3086,14.80%
10,greedy_then_aco,219.40,12.3939,12.26%
10,greedy_then_mmas,217.92,12.2333,12.85%
20,greedy,340.10,0.0136,-
20,aco,294.29,166.3218,13.47%
20,greedy_then_aco,282.57,166.2726,16.91%
20,greedy_then_mmas,283.23,165.9149,16.72%
30,greedy,426.49,0.0292,-
30,aco,388.06,788.4840,9.01%
30,greedy_then_aco,378.53,791.8478,11.25%
30,greedy_then_mmas,400.48,1616.2667,6.10%
40,greedy,529.70,0.0509,-
40,aco,399.71,4876.2054,24.54%
40,greedy_then_aco,406.06,2522.3311,23.34%
40,greedy_then_mmas,410.00,2735.4710,22.60%
50,greedy,614.42,0.0848,-
50,aco,483.41,8830.3570,21.32%
50,greedy_then_aco,499.90,6462.4335,18.64%
50,greedy_then_mmas,527.24,7088.8252,14.19%
